nop,flux_type,final_time,status,timestamp
2,flux_artiano_ec,20.0,completed,2025-11-04 12:09:18
2,flux_artiano_tec,20.0,completed,2025-11-04 12:11:24
2,flux_artiano_etec,20.0,completed,2025-11-04 12:13:27
2,flux_kg,20.0,completed,2025-11-04 12:15:33
2,flux_central,2.2620465826215397,blow-up,2025-11-04 12:18:18
3,flux_artiano_ec,20.0,completed,2025-11-04 12:19:16
3,flux_artiano_tec,20.0,completed,2025-11-04 12:24:35
3,flux_artiano_etec,20.0,completed,2025-11-04 12:29:41
3,flux_kg,20.0,completed,2025-11-04 12:35:01
3,flux_central,1.8711900055631137,blow-up,2025-11-04 12:41:58
4,flux_artiano_ec,20.0,completed,2025-11-04 12:43:16
4,flux_artiano_tec,20.0,completed,2025-11-04 12:56:57
4,flux_artiano_etec,20.0,completed,2025-11-04 13:09:37
4,flux_kg,20.0,completed,2025-11-04 13:22:50
4,flux_central,1.6238673073738752,blow-up,2025-11-04 14:09:29
5,flux_artiano_ec,20.0,completed,2025-11-04 14:11:49
5,flux_artiano_tec,20.0,completed,2025-11-04 14:38:38
5,flux_artiano_etec,20.0,completed,2025-11-04 15:04:15
5,flux_kg,20.0,completed,2025-11-04 15:30:31
5,flux_central,1.8824952312841983,blow-up,2025-11-04 16:07:34
6,flux_artiano_ec,20.0,completed,2025-11-04 16:12:42
6,flux_artiano_tec,20.0,completed,2025-11-04 17:05:36
6,flux_artiano_etec,20.0,completed,2025-11-04 17:55:34
6,flux_kg,20.0,completed,2025-11-04 18:46:39
6,flux_central,1.5772916735356317,blow-up,2025-11-04 19:55:34
7,flux_artiano_ec,20.0,completed,2025-11-04 20:02:27
7,flux_artiano_tec,20.0,completed,2025-11-04 21:36:57
7,flux_artiano_etec,20.0,completed,2025-11-04 23:07:17
