# Brio-Wu, gamma = 2, Bx = 0.75, t = 0.1: HLL finite volume, 10000 cells, sampled at 2000 points
# x rho u v w p By Bz
0.00025 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00075 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00125 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00175 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.0022500000000000003 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.0027500000000000003 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.0032500000000000003 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.0037500000000000003 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00425 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00475 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00525 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00575 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00625 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00675 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00725 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00775 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00825 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00875 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.009250000000000001 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.00975 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01025 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.010750000000000001 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.011250000000000001 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01175 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01225 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.012750000000000001 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.013250000000000001 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01375 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01425 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.014750000000000001 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.015250000000000001 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01575 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01625 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01675 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01725 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.017750000000000002 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.018250000000000002 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01875 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01925 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.01975 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02025 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02075 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02125 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.021750000000000002 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.022250000000000002 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02275 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02325 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02375 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02425 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02475 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02525 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.025750000000000002 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.026250000000000002 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.026750000000000003 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02725 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02775 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02825 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02875 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.02925 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.029750000000000002 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.030250000000000003 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.030750000000000003 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.03125 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.03175 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.03225 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.03275 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.03325 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.03375 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.03425 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.03475 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.035250000000000004 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.035750000000000004 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.036250000000000004 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.036750000000000005 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.03725 1.0 0.0 0.0 0.0 1.0 1.0 0.0
0.03775 1.0 0.0 0.0 0.0 1.0 1.0 0.0
