solver,nop,unknowns,linf,l2rel,solve_s,setup_s
sem,2,1024,0.0030842450507542196,0.0019030015829577908,0.001192002,NaN
ps,2,1024,2.5757174171303632e-14,1.3726983099499292e-14,4.67225e-6,0.000999217
fft,2,1024,2.3314683517128287e-15,8.253994334493937e-16,2.4452222222222223e-6,2.5397e-5
sem,3,2304,0.00011282694170744456,7.333697048037246e-5,0.003153429,NaN
ps,3,2304,7.116529587847253e-14,3.4851288123117445e-14,1.5525e-5,0.002210885
fft,3,2304,2.220446049250313e-15,6.022031717200611e-16,1.0047333333333335e-5,0.000106315
sem,4,4096,4.036748885605235e-6,2.2284471478536184e-6,0.007092709,NaN
ps,4,4096,4.107825191113079e-13,1.9180169547926138e-13,3.3578e-5,0.004098807
fft,4,4096,2.55351295663786e-15,7.08599177070065e-16,1.3467e-5,7.8472e-5
sem,5,6400,1.161784042302827e-7,6.783303266070582e-8,0.014386937,NaN
ps,5,6400,2.5002222514558525e-13,1.473733049930279e-13,5.6322e-5,0.006242623
fft,5,6400,2.7200464103316335e-15,8.624472419137098e-16,2.5991e-5,0.000182756
sem,6,9216,3.576603901933595e-9,1.951002856106603e-9,0.029301969,NaN
ps,6,9216,3.9324099532223045e-13,1.6747816026196456e-13,8.9289e-5,0.009720648
fft,6,9216,2.7200464103316335e-15,7.145726229201228e-16,3.6554e-5,0.000115827
sem,7,12544,9.60969082086649e-11,5.2547344855109526e-11,0.050047763,NaN
ps,7,12544,6.077360836798107e-13,3.4147909865581713e-13,0.000196082,0.013580049
fft,7,12544,3.1086244689504383e-15,8.282158055963788e-16,3.9339e-5,0.000142465
sem,8,16384,2.315535164381963e-11,5.14764122894422e-12,0.088419428,NaN
ps,8,16384,6.594169654761117e-13,3.362730836230667e-13,0.000248508,0.016631004
fft,8,16384,2.55351295663786e-15,7.196068980449069e-16,5.2997e-5,0.000139921
